interval_id,evidence_layer,experiment_code,split,metric,model_arm,comparator_arm,n_questions,effect,ci_lower,ci_upper,ci_level,bootstrap_unit,bootstrap_resamples,effect_excludes_zero,source_artifact
corrected_objective_ab:clip:s42::exact_full,corrected_chatml_v1_eos,corrected_objective_ab:clip,objective_4000_qids,exact_full,bridge_clip_w1seq_s42_v1_ep5,bridge_clip_w1_bf16_v1_ep5,4000,-2.275,-3.55,-1.05,95,question,10000,true,submit/eval/objective_ab_2291075_analysis.json
corrected_objective_ab:clip:s43::exact_full,corrected_chatml_v1_eos,corrected_objective_ab:clip,objective_4000_qids,exact_full,bridge_clip_w1seq_s43_v1_ep5,bridge_clip_w1_s43_v1_ep5,4000,-0.875,-2.125,0.375,95,question,10000,false,submit/eval/objective_ab_2291075_analysis.json
corrected_objective_ab:clip:s44::exact_full,corrected_chatml_v1_eos,corrected_objective_ab:clip,objective_4000_qids,exact_full,bridge_clip_w1seq_s44_v1_ep5,bridge_clip_w1_s44_v1_ep5,4000,-0.45,-1.7,0.775,95,question,10000,false,submit/eval/objective_ab_2291075_analysis.json
corrected_objective_ab:ijepa:s42::exact_full,corrected_chatml_v1_eos,corrected_objective_ab:ijepa,objective_4000_qids,exact_full,bridge_ijepa_w1seq_s42_v1_ep5,bridge_ijepa_w1_bf16_v1_ep5,4000,-0.375,-1.725625,0.975,95,question,10000,false,submit/eval/objective_ab_2291075_analysis.json
corrected_objective_ab:ijepa:s43::exact_full,corrected_chatml_v1_eos,corrected_objective_ab:ijepa,objective_4000_qids,exact_full,bridge_ijepa_w1seq_s43_v1_ep5,bridge_ijepa_w1_s43_v1_ep5,4000,-0.5,-1.825,0.8,95,question,10000,false,submit/eval/objective_ab_2291075_analysis.json
corrected_objective_ab:ijepa:s44::exact_full,corrected_chatml_v1_eos,corrected_objective_ab:ijepa,objective_4000_qids,exact_full,bridge_ijepa_w1seq_s44_v1_ep5,bridge_ijepa_w1_s44_v1_ep5,4000,1.975,0.475,3.4,95,question,10000,true,submit/eval/objective_ab_2291075_analysis.json
corrected_testdev:clip_dinov2_q_former32_clip_dinov2_mlp256::exact_full,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,exact_full,(CLIP−DINOv2 | Q-Former32) − (CLIP−DINOv2 | MLP256),paired within-question,12578,-1.3913,-2.4726,-0.326,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:clip_dinov2_q_former32_clip_dinov2_mlp256::official,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,official,(CLIP−DINOv2 | Q-Former32) − (CLIP−DINOv2 | MLP256),paired within-question,12578,-1.3913,-2.4726,-0.326,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:clip_i_jepa_q_former32_clip_i_jepa_mlp256::exact_full,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,exact_full,(CLIP−I-JEPA | Q-Former32) − (CLIP−I-JEPA | MLP256),paired within-question,12578,-3.7128,-4.8259,-2.5998,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:clip_i_jepa_q_former32_clip_i_jepa_mlp256::official,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,official,(CLIP−I-JEPA | Q-Former32) − (CLIP−I-JEPA | MLP256),paired within-question,12578,-3.6731,-4.7861,-2.5521,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
