result_id,evidence_layer,experiment_code,split,encoder,connector,augmentation,category,n,metric,model_score,comparator_score,effect,source_artifact
corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5::bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5,confirm_3000_qids,clip,mlp256,none,choose,368,exact,59.782609,49.184783,10.597826,outputs/eval/confirm/bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5::bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5,confirm_3000_qids,clip,mlp256,none,compare,96,exact,45.833333,35.416667,10.416667,outputs/eval/confirm/bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5::bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5,confirm_3000_qids,clip,mlp256,none,exist,532,exact,63.157895,41.729323,21.428571,outputs/eval/confirm/bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5::bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5,confirm_3000_qids,clip,mlp256,none,other,955,exact,51.727749,28.376963,23.350785,outputs/eval/confirm/bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5::bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5,confirm_3000_qids,clip,mlp256,none,relate,1049,exact,42.516683,14.585319,27.931363,outputs/eval/confirm/bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5::bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5,confirm_3000_qids,clip,mlp256,none,choose,368,exact_full,59.782609,49.184783,10.597826,outputs/eval/confirm/bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5::bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5,confirm_3000_qids,clip,mlp256,none,compare,96,exact_full,45.833333,35.416667,10.416667,outputs/eval/confirm/bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5::bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5,confirm_3000_qids,clip,mlp256,none,exist,532,exact_full,63.157895,41.729323,21.428571,outputs/eval/confirm/bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5::bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5,confirm_3000_qids,clip,mlp256,none,other,955,exact_full,51.727749,28.376963,23.350785,outputs/eval/confirm/bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5::bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5,confirm_3000_qids,clip,mlp256,none,relate,1049,exact_full,42.516683,14.585319,27.931363,outputs/eval/confirm/bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5::bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5,confirm_3000_qids,clip,mlp256,none,choose,368,vqa_soft,60.054348,50,10.054348,outputs/eval/confirm/bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
