result_id,evidence_layer,protocol,execution_environment,job_id,experiment_code,experiment_name,split,split_sha256,development_status,encoder,connector,seed,epoch,checkpoint,checkpoint_sha256,augmentation,original_run_name,input_mode,reason_mode,graph_source,oracle,model_arm,comparator_arm,n_questions,n_images,metric,model_score,comparator_score,effect,ci_lower,ci_upper,ci_level,bootstrap_unit,bootstrap_resamples,effect_excludes_zero,eos_rate,cap_rate,mean_generated_tokens,source_artifact,source_artifact_sha256,source_commit,notes
corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5::bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5,bridge_clip_w1_bf16_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,mlp256,42,5,bridge_clip_w1_bf16_v1_ep5,,none,bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,exact,51.333333,28.7,22.633333,,,,,,,100,0,2.245333,outputs/eval/confirm/bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,96c14e93857e9e6072d4444baefd72141836ba3467d64c9909c06f3aa2eb088c,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5::bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5,bridge_clip_w1_bf16_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,mlp256,42,5,bridge_clip_w1_bf16_v1_ep5,,none,bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,exact_full,51.333333,28.7,22.633333,,,,,,,100,0,2.245333,outputs/eval/confirm/bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,96c14e93857e9e6072d4444baefd72141836ba3467d64c9909c06f3aa2eb088c,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5::bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5,bridge_clip_w1_bf16_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,mlp256,42,5,bridge_clip_w1_bf16_v1_ep5,,none,bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,vqa_soft,52,31.466667,20.533333,,,,,,,100,0,2.245333,outputs/eval/confirm/bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,96c14e93857e9e6072d4444baefd72141836ba3467d64c9909c06f3aa2eb088c,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1_s43_v1_ep5::bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1_s43_v1_ep5,bridge_clip_w1_s43_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,mlp256,43,5,bridge_clip_w1_s43_v1_ep5,,none,bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,exact,51.333333,28.7,22.633333,,,,,,,100,0,2.232667,outputs/eval/confirm/bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,ce1d7ac559cea10a508b962a17fbdf9a2066603fb0f48bc2a796e8f649fdc212,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1_s43_v1_ep5::bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1_s43_v1_ep5,bridge_clip_w1_s43_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,mlp256,43,5,bridge_clip_w1_s43_v1_ep5,,none,bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,exact_full,51.333333,28.7,22.633333,,,,,,,100,0,2.232667,outputs/eval/confirm/bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,ce1d7ac559cea10a508b962a17fbdf9a2066603fb0f48bc2a796e8f649fdc212,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1_s43_v1_ep5::bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1_s43_v1_ep5,bridge_clip_w1_s43_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,mlp256,43,5,bridge_clip_w1_s43_v1_ep5,,none,bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,vqa_soft,52.066667,31.466667,20.6,,,,,,,100,0,2.232667,outputs/eval/confirm/bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,ce1d7ac559cea10a508b962a17fbdf9a2066603fb0f48bc2a796e8f649fdc212,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1_s44_v1_ep5::bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1_s44_v1_ep5,bridge_clip_w1_s44_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,mlp256,44,5,bridge_clip_w1_s44_v1_ep5,,none,bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,exact,50.766667,28.7,22.066667,,,,,,,100,0,2.243,outputs/eval/confirm/bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,f93af65b6a230b464985e57418b692c4d85609181d99f530fae90c0531ba9f95,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1_s44_v1_ep5::bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1_s44_v1_ep5,bridge_clip_w1_s44_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,mlp256,44,5,bridge_clip_w1_s44_v1_ep5,,none,bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,exact_full,50.766667,28.7,22.066667,,,,,,,100,0,2.243,outputs/eval/confirm/bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,f93af65b6a230b464985e57418b692c4d85609181d99f530fae90c0531ba9f95,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1_s44_v1_ep5::bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1_s44_v1_ep5,bridge_clip_w1_s44_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,mlp256,44,5,bridge_clip_w1_s44_v1_ep5,,none,bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,vqa_soft,51.633333,31.466667,20.166667,,,,,,,100,0,2.243,outputs/eval/confirm/bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,f93af65b6a230b464985e57418b692c4d85609181d99f530fae90c0531ba9f95,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5::bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5,bridge_clip_w1pool_bf16_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,pool32,42,5,bridge_clip_w1pool_bf16_v1_ep5,,none,bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,exact,44.3,28.7,15.6,,,,,,,100,0,2.247333,outputs/eval/confirm/bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,a3c54833b98f29809e82dfdb38daef4c56b924b8e4c840ad1111da1c2364dbc1,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5::bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5,bridge_clip_w1pool_bf16_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,pool32,42,5,bridge_clip_w1pool_bf16_v1_ep5,,none,bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,exact_full,44.3,28.7,15.6,,,,,,,100,0,2.247333,outputs/eval/confirm/bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,a3c54833b98f29809e82dfdb38daef4c56b924b8e4c840ad1111da1c2364dbc1,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5::bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5,bridge_clip_w1pool_bf16_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,pool32,42,5,bridge_clip_w1pool_bf16_v1_ep5,,none,bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,vqa_soft,44.966667,31.466667,13.5,,,,,,,100,0,2.247333,outputs/eval/confirm/bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,a3c54833b98f29809e82dfdb38daef4c56b924b8e4c840ad1111da1c2364dbc1,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1qf_bf16_v1_ep5::bridge_clip_w1qf_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1qf_bf16_v1_ep5,bridge_clip_w1qf_bf16_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,qformer32,42,5,bridge_clip_w1qf_bf16_v1_ep5,,none,bridge_clip_w1qf_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,exact,44.466667,28.7,15.766667,,,,,,,100,0,2.228,outputs/eval/confirm/bridge_clip_w1qf_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,637c1115802c88549d60fc7ce81412a906b14712e4d4952df67da23a464e5003,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1qf_bf16_v1_ep5::bridge_clip_w1qf_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1qf_bf16_v1_ep5,bridge_clip_w1qf_bf16_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,qformer32,42,5,bridge_clip_w1qf_bf16_v1_ep5,,none,bridge_clip_w1qf_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,exact_full,44.466667,28.7,15.766667,,,,,,,100,0,2.228,outputs/eval/confirm/bridge_clip_w1qf_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,637c1115802c88549d60fc7ce81412a906b14712e4d4952df67da23a464e5003,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1qf_bf16_v1_ep5::bridge_clip_w1qf_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1qf_bf16_v1_ep5,bridge_clip_w1qf_bf16_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,qformer32,42,5,bridge_clip_w1qf_bf16_v1_ep5,,none,bridge_clip_w1qf_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,vqa_soft,45.166667,31.466667,13.7,,,,,,,100,0,2.228,outputs/eval/confirm/bridge_clip_w1qf_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,637c1115802c88549d60fc7ce81412a906b14712e4d4952df67da23a464e5003,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1qf_ext7_v1_ep6::bridge_clip_w1qf_ext7_v1_ep6__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1qf_ext7_v1_ep6,bridge_clip_w1qf_ext7_v1_ep6,confirm_3000_qids,,confirmatory_result,clip,qformer32,42,6,bridge_clip_w1qf_ext7_v1_ep6,,none,bridge_clip_w1qf_ext7_v1_ep6__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,exact,44.8,28.7,16.1,,,,,,,100,0,2.241,outputs/eval/confirm/bridge_clip_w1qf_ext7_v1_ep6__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,45b9f2b25b81447e4f058f463df3ce32b702c2d7cf88d19b87a43b90bb27eb9a,,corrected ChatML + supervised EOS; primary metric exact_full
