result_id,evidence_layer,protocol,execution_environment,job_id,experiment_code,experiment_name,split,split_sha256,development_status,encoder,connector,seed,epoch,checkpoint,checkpoint_sha256,augmentation,original_run_name,input_mode,reason_mode,graph_source,oracle,model_arm,comparator_arm,n_questions,n_images,metric,model_score,comparator_score,effect,ci_lower,ci_upper,ci_level,bootstrap_unit,bootstrap_resamples,effect_excludes_zero,eos_rate,cap_rate,mean_generated_tokens,source_artifact,source_artifact_sha256,source_commit,notes
legacy_locked2000:bridge_clip_150k_3ep::bridge_clip_150k_3ep::exact,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_3ep,bridge_clip_150k_3ep,eval_2000_qids,,locked_result,clip,,,,,,none,bridge_clip_150k_3ep,,,,,bridge,text-only floor,2000,1725,exact,17.1,19.25,-2.15,,,,,,,,,,outputs/eval/bridge_clip_150k_3ep_records.json,f9c3eab87f6dc5ad8fb2c10637975cedbf6befe9e201afaabbd4a14a2bf7858c,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_3ep::bridge_clip_150k_3ep::vqa_soft,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_3ep,bridge_clip_150k_3ep,eval_2000_qids,,locked_result,clip,,,,,,none,bridge_clip_150k_3ep,,,,,bridge,text-only floor,2000,1725,vqa_soft,46.35,30.7,15.65,,,,,,,,,,outputs/eval/bridge_clip_150k_3ep_records.json,f9c3eab87f6dc5ad8fb2c10637975cedbf6befe9e201afaabbd4a14a2bf7858c,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_3ep_cot::bridge_clip_150k_3ep_cot::exact,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_3ep_cot,bridge_clip_150k_3ep_cot,eval_2000_qids,,locked_result,clip,,,,,,cot,bridge_clip_150k_3ep_cot,,,,false,bridge+augmentation,bridge (unaugmented),2000,1725,exact,36.6,17.1,19.5,,,,,,,,,,outputs/eval/bridge_clip_150k_3ep_cot_records.json,e678ac98a252159f94c996950f3f6a0d6c7462a043eda60c3019073a975049e6,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_3ep_cot::bridge_clip_150k_3ep_cot::vqa_soft,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_3ep_cot,bridge_clip_150k_3ep_cot,eval_2000_qids,,locked_result,clip,,,,,,cot,bridge_clip_150k_3ep_cot,,,,false,bridge+augmentation,bridge (unaugmented),2000,1725,vqa_soft,42.8,46.35,-3.55,,,,,,,,,,outputs/eval/bridge_clip_150k_3ep_cot_records.json,e678ac98a252159f94c996950f3f6a0d6c7462a043eda60c3019073a975049e6,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_3ep_scene_graph::bridge_clip_150k_3ep_scene_graph::exact,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_3ep_scene_graph,bridge_clip_150k_3ep_scene_graph,eval_2000_qids,,locked_result,clip,,,,,,scene_graph_oracle,bridge_clip_150k_3ep_scene_graph,,,gqa_ground_truth,true,bridge+augmentation,bridge (unaugmented),2000,1725,exact,60.85,17.1,43.75,,,,,,,,,,outputs/eval/bridge_clip_150k_3ep_scene_graph_records.json,78a1c0dc43e1e7cf4a4b49c8c4a9d2c7b675a773c97b9bf0ec07dbabede8d245,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_3ep_scene_graph::bridge_clip_150k_3ep_scene_graph::vqa_soft,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_3ep_scene_graph,bridge_clip_150k_3ep_scene_graph,eval_2000_qids,,locked_result,clip,,,,,,scene_graph_oracle,bridge_clip_150k_3ep_scene_graph,,,gqa_ground_truth,true,bridge+augmentation,bridge (unaugmented),2000,1725,vqa_soft,72.6,46.35,26.25,,,,,,,,,,outputs/eval/bridge_clip_150k_3ep_scene_graph_records.json,78a1c0dc43e1e7cf4a4b49c8c4a9d2c7b675a773c97b9bf0ec07dbabede8d245,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_cosine_ep1::bridge_clip_150k_cosine_ep1::exact,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_cosine_ep1,bridge_clip_150k_cosine_ep1,eval_2000_qids,,locked_result,clip,,,1,,,none,bridge_clip_150k_cosine_ep1,,,,,bridge,text-only floor,2000,1725,exact,5.1,19.25,-14.15,,,,,,,,,,outputs/eval/bridge_clip_150k_cosine_ep1_records.json,c33a089b65d0814c5a288d9417e4b5cbe8873a5f409a32e2789b673340751993,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_cosine_ep1::bridge_clip_150k_cosine_ep1::vqa_soft,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_cosine_ep1,bridge_clip_150k_cosine_ep1,eval_2000_qids,,locked_result,clip,,,1,,,none,bridge_clip_150k_cosine_ep1,,,,,bridge,text-only floor,2000,1725,vqa_soft,42.9,30.7,12.2,,,,,,,,,,outputs/eval/bridge_clip_150k_cosine_ep1_records.json,c33a089b65d0814c5a288d9417e4b5cbe8873a5f409a32e2789b673340751993,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_cosine_ep2::bridge_clip_150k_cosine_ep2::exact,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_cosine_ep2,bridge_clip_150k_cosine_ep2,eval_2000_qids,,locked_result,clip,,,2,,,none,bridge_clip_150k_cosine_ep2,,,,,bridge,text-only floor,2000,1725,exact,7.15,19.25,-12.1,,,,,,,,,,outputs/eval/bridge_clip_150k_cosine_ep2_records.json,e32e9648492162586e7375f9c16777ad656776d18d19438f3062817753bc80b4,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_cosine_ep2::bridge_clip_150k_cosine_ep2::vqa_soft,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_cosine_ep2,bridge_clip_150k_cosine_ep2,eval_2000_qids,,locked_result,clip,,,2,,,none,bridge_clip_150k_cosine_ep2,,,,,bridge,text-only floor,2000,1725,vqa_soft,46.7,30.7,16,,,,,,,,,,outputs/eval/bridge_clip_150k_cosine_ep2_records.json,e32e9648492162586e7375f9c16777ad656776d18d19438f3062817753bc80b4,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_cosine_ep3::bridge_clip_150k_cosine_ep3::exact,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_cosine_ep3,bridge_clip_150k_cosine_ep3,eval_2000_qids,,locked_result,clip,,,3,,,none,bridge_clip_150k_cosine_ep3,,,,,bridge,text-only floor,2000,1725,exact,10.2,19.25,-9.05,,,,,,,,,,outputs/eval/bridge_clip_150k_cosine_ep3_records.json,ec02079438e3d777fe74cd61b377622e81f7dbb585aeb9a038ca16f8debcf1f6,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
